,name,year,revenue,employee,sector,job_title,location,salary_est,age,min_salary,max_salary,avg_salary
0,Skillquotient,2016,$25 to $100 million (USD),501 to 1000 Employees,Information Technology,Artificial Intelligence- Data Science,Remote,$76k - $179k ,7,76,179,127.5
1,Sephora USA,1969,$1 to $5 billion (USD),10000+ Employees,Retail & Wholesale,"Manager, Data Science Analytics",Remote,$180k - $181k ,54,180,181,180.5
2,REVOLVE,2003,$500 million to $1 billion (USD),1001 to 5000 Employees,Retail & Wholesale,Data Science Analyst, CA,$90k ,20,90,90,90.0
3,Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics,Remote,$100k - $135k ,47,100,135,117.5
4,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML), CA,$57k - $90k ,19,57,90,73.5
6,Procter & Gamble,1837,$10+ billion (USD),10000+ Employees,Manufacturing,Data Scientist, WA,$85k - $115k ,186,85,115,100.0
7,Parafin,2020,Unknown / Non-Applicable,51 to 200 Employees,Financial Services,"Data Scientist, Analytics", TX,$140k - $160k ,3,140,160,150.0
8,Bayer,1863,$10+ billion (USD),10000+ Employees,Pharmaceutical & Biotechnology,Remote Sensing Data Scientist - REMOTE, CA,$116k - $175k ,160,116,175,145.5
9,Clarify Health Solutions.,2015,$25 to $100 million (USD),201 to 500 Employees,Information Technology,Senior Healthcare Data Analyst, CA,$108k - $146k ,8,108,146,127.0
10,Insulet Corporation,2000,$1 to $5 billion (USD),1001 to 5000 Employees,Pharmaceutical & Biotechnology,"Co-Op, Data Science (Hybrid)", OH,$94k - $140k ,23,94,140,117.0
11,pulseData,2015,Unknown / Non-Applicable,1 to 50 Employees,Healthcare,Data Engineer - Jr/Mid Level (Remote), CA,$75k - $120k ,8,75,120,97.5
12,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science",Remote,$128k - $145k ,35,128,145,136.5
13,"Fiserv, Inc.",1984,$10+ billion (USD),10000+ Employees,Financial Services,Jr. Data Scientist, OH,$80k - $113k ,39,80,113,96.5
14,Unilever,1872,$10+ billion (USD),10000+ Employees,Manufacturing,Data Scientist,Remote,$67k - $101k ,151,67,101,84.0
15,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis", CA,$99k - $126k ,10,99,126,112.5
16,Cognira,2015,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Data Scientist,Remote,$83k - $129k ,8,83,129,106.0
17,Capgemini,1967,$10+ billion (USD),10000+ Employees,Information Technology,Data Engineers,Remote,$76k - $112k ,56,76,112,94.0
18,Notion,2016,Unknown / Non-Applicable,201 to 500 Employees,Information Technology,"Data Scientist, Sales & Success", MA,$160k - $210k ,7,160,210,185.0
19,Webstaurant Store,2004,$500 million to $1 billion (USD),1001 to 5000 Employees,Retail & Wholesale,Applied Data Scientist,Remote,$70k - $110k ,19,70,110,90.0
20,The College Board,1900,$500 million to $1 billion (USD),1001 to 5000 Employees,Education,Data Scientist (Engineer II), CA,$110k - $115k ,123,110,115,112.5
21,Snowflake,2012,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,"Manager, Data Science - Streamlit", NJ,$180k - $276k ,11,180,276,228.0
22,Excellus,1936,$1 to $5 billion (USD),5001 to 10000 Employees,Insurance,Data Scientist I/II/III - 014373, CT,$76k - $119k ,87,76,119,97.5
23,"Gametime United, Inc.",2013,$25 to $100 million (USD),51 to 200 Employees,"Arts, Entertainment & Recreation",Data Scientist - Retention, CA,$115k - $130k ,10,115,130,122.5
24,Fives,1812,$1 to $5 billion (USD),5001 to 10000 Employees,Manufacturing,"Data Science Engineer (Machine Vision, Machine Learning, Python)", GA,$107k - $135k ,211,107,135,121.0
25,"The Travelers Companies, Inc.",1853,$10+ billion (USD),10000+ Employees,Insurance,"Data Engineer 1 (AWS, SQL, Python)", CA,$103k - $169k ,170,103,169,136.0
26,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, CA,$111k - $155k ,65,111,155,133.0
27,Lightspeed Systems,1999,$25 to $100 million (USD),201 to 500 Employees,Information Technology,Junior Data Scientist,Remote,$76k - $116k ,24,76,116,96.0
28,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant,Remote,$97k - $155k ,37,97,155,126.0
29,CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science, PA,$116k - $193k ,33,116,193,154.5
30,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
31,GFiber,1998,$10+ billion (USD),10000+ Employees,Information Technology,"Network Data Analytics Engineer, CPE",Remote,$137k - $188k ,25,137,188,162.5
32,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer, CA,$84k - $113k ,98,84,113,98.5
33,GroupM Nexus,2003,Unknown / Non-Applicable,10000+ Employees,Media & Communication,"Analyst, Data Science", NY,$82k - $120k ,20,82,120,101.0
34,Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer,Remote,$76k - $111k ,173,76,111,93.5
35,BlueOcean,1994,$25 to $100 million (USD),501 to 1000 Employees,Media & Communication,Data Engineer, WA,$135k - $155k ,29,135,155,145.0
36,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, CT,$90k - $165k ,173,90,165,127.5
37,"The Travelers Companies, Inc.",1853,$10+ billion (USD),10000+ Employees,Insurance,Data Scientist,Remote,$122k - $201k ,170,122,201,161.5
38,Liberty Mutual Insurance,1912,$10+ billion (USD),10000+ Employees,Insurance,Data Engineer,Remote,$91k - $130k ,111,91,130,110.5
39,Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,Senior Data Engineer, TX,$40k - $160k ,141,40,160,100.0
40,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer, TX,$84k - $113k ,98,84,113,98.5
41,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, CA,$83k - $117k ,19,83,117,100.0
42,"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I,Remote,$70k - $75k ,44,70,75,72.5
43,Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,"Sr. Data Analyst, Data Science & Insights",Remote,$40k - $160k ,141,40,160,100.0
45,"The Travelers Companies, Inc.",1853,$10+ billion (USD),10000+ Employees,Insurance,"Data Engineer 1 (AWS, SQL, Python)", CA,$103k - $169k ,170,103,169,136.0
46,CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science, CA,$116k - $193k ,33,116,193,154.5
47,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, IL,$121k - $170k ,17,121,170,145.5
48,Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer, NY,$76k - $111k ,173,76,111,93.5
49,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant, TX,$97k - $155k ,37,97,155,126.0
50,Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,Senior Data Engineer,Remote,$40k - $160k ,141,40,160,100.0
51,Colgate-Palmolive,1806,$10+ billion (USD),10000+ Employees,Manufacturing,"Director, Global Data Platforms",Remote,$158k - $233k ,217,158,233,195.5
52,Snowflake,2012,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,"Manager, Data Science - Streamlit", NY,$180k - $276k ,11,180,276,228.0
53,PayPal,1998,$10+ billion (USD),10000+ Employees,Information Technology,"Data Science Mng, Marketing Analytics",Remote,$85k - $205k ,25,85,205,145.0
54,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
55,Zoox,2014,Less than $1 million (USD),501 to 1000 Employees,Information Technology,Data Engineer, CT,$143k - $200k ,9,143,200,171.5
56,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics",Remote,$72k - $122k ,86,72,122,97.0
57,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
58,Volkswagen Group of America,1955,$5 to $25 million (USD),1001 to 5000 Employees,Manufacturing,Data Engineer, NY,$78k - $113k ,68,78,113,95.5
59,Unum,1848,$10+ billion (USD),5001 to 10000 Employees,Insurance,Marketing Analytics - Data Scientist, TX,$89k - $127k ,175,89,127,108.0
60,GroupM Nexus,2003,Unknown / Non-Applicable,10000+ Employees,Media & Communication,"Analyst, Data Science", IL,$82k - $120k ,20,82,120,101.0
61,Black Knight,2013,Less than $1 million (USD),5001 to 10000 Employees,Information Technology,Data Scientist III Supervisor,Remote,$80k - $112k ,10,80,112,96.0
62,PepsiCo,1965,$10+ billion (USD),10000+ Employees,Manufacturing,Data Engineer, TX,$81k - $117k ,58,81,117,99.0
63,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,Remote,$84k - $113k ,98,84,113,98.5
64,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, CA,$83k - $117k ,19,83,117,100.0
65,Zoox,2014,Less than $1 million (USD),501 to 1000 Employees,Information Technology,Data Engineer, NY,$143k - $200k ,9,143,200,171.5
67,Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant, CT,$97k - $155k ,37,97,155,126.0
68,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,Remote,$99k ,12,99,99,99.0
69,CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science, NY,$116k - $193k ,33,116,193,154.5
