name,year,revenue,employee,sector,job_title,location,salary_est
Skillquotient,2016,$25 to $100 million (USD),501 to 1000 Employees,Information Technology,Artificial Intelligence- Data Science,Remote,$76K - $179K (Employer est.)
Sephora USA,1969,$1 to $5 billion (USD),10000+ Employees,Retail & Wholesale,"Manager, Data Science Analytics",Remote,$180K - $181K (Employer est.)
Norwin,NaN,Unknown / Non-Applicable,1 to 50 Employees,Manufacturing,Data Engineer,"South San Francisco, CA",$90.00 Per Hour(Employer est.)
Electric Power Research Institute,1973,$100 to $500 million (USD),501 to 1000 Employees,Management & Consulting,Digital Transformation/Data Science Student Employee,Remote,NaN
REVOLVE,2003,$500 million to $1 billion (USD),1001 to 5000 Employees,Retail & Wholesale,Data Science Analyst,"Cerritos, CA",$90K (Employer est.)
Net2Aspire,NaN,Unknown / Non-Applicable,51 to 200 Employees,NaN,Jr. Data Scientist,Remote,$65K - $80K (Employer est.)
Costco Wholesale,1976,Unknown / Non-Applicable,10000+ Employees,Retail & Wholesale,Data Engineer - Data Science & Analytics,"Seattle, WA",$100K - $135K (Employer est.)
Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML),"Dallas, TX",$57K - $90K (Glassdoor est.)
Brilliant,NaN,Unknown / Non-Applicable,Unknown,NaN,Producer - Data Science,"San Francisco, CA",$120K - $180K (Employer est.)
Skyworks,1962,$1 to $5 billion (USD),5001 to 10000 Employees,Manufacturing,Data Analytics Winter Co-Op,"Irvine, CA",$22.50 - $42.00 Per Hour(Employer est.)
Procter & Gamble,1837,$10+ billion (USD),10000+ Employees,Manufacturing,Data Scientist,"Cincinnati, OH",$85K - $115K (Employer est.)
Parafin,2020,Unknown / Non-Applicable,51 to 200 Employees,Financial Services,"Data Scientist, Analytics","San Francisco, CA",$140K - $160K (Employer est.)
Bayer,1863,$10+ billion (USD),10000+ Employees,Pharmaceutical & Biotechnology,Remote Sensing Data Scientist - REMOTE,United States,$116K - $175K (Employer est.)
KesarWeb,NaN,Unknown / Non-Applicable,1 to 50 Employees,NaN,Data Scientist,"Columbus, OH",$96K - $103K (Employer est.)
"WhirlWind Technologies, LLC",NaN,$1 to $5 million (USD),1 to 50 Employees,NaN,Jr. Data Scientist,Remote,$86K - $110K (Employer est.)
Kinect,2015,$1 to $5 million (USD),1 to 50 Employees,NaN,Sr. Data Engineer,"Santa Monica, CA",$99K - $141K (Glassdoor est.)
Polco,NaN,Unknown / Non-Applicable,51 to 200 Employees,Government & Public Administration,Associate Data Scientist,Remote,$80K - $110K (Employer est.)
Clarify Health Solutions.,2015,$25 to $100 million (USD),201 to 500 Employees,Information Technology,Senior Healthcare Data Analyst,Remote,$108K - $146K (Employer est.)
Insulet Corporation,2000,$1 to $5 billion (USD),1001 to 5000 Employees,Pharmaceutical & Biotechnology,"Co-Op, Data Science (Hybrid)","Acton, MA",$94K - $140K (Glassdoor est.)
pulseData,2015,Unknown / Non-Applicable,1 to 50 Employees,Healthcare,Data Engineer - Jr/Mid Level (Remote),United States,$75K - $120K (Employer est.)
BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science","Palo Alto, CA",$128K - $145K (Employer est.)
"Fiserv, Inc.",1984,$10+ billion (USD),10000+ Employees,Financial Services,Jr. Data Scientist,"Berkeley Heights, NJ",$80K - $113K (Glassdoor est.)
Unilever,1872,$10+ billion (USD),10000+ Employees,Manufacturing,Data Scientist,"Trumbull, CT",$67K - $101K (Employer est.)
CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis","South San Francisco, CA",$99K - $126K (Employer est.)
Cognira,2015,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Data Scientist,"Atlanta, GA",$83K - $129K (Glassdoor est.)
Capgemini,1967,$10+ billion (USD),10000+ Employees,Information Technology,Data Engineers,"Universal City, CA",$76K - $112K (Glassdoor est.)
Notion,2016,Unknown / Non-Applicable,201 to 500 Employees,Information Technology,"Data Scientist, Sales & Success","San Francisco, CA",$160K - $210K (Employer est.)
